inserts_40,inserts_80,inserts_120
0.004618,0.009413,0.016645
0.004877,0.009217,0.018934
0.004620,0.009989,0.013896
0.005235,0.010991,0.016685
0.003949,0.009390,0.013858
0.006432,0.008757,0.023371
0.005011,0.011490,0.016280
0.004542,0.012989,0.014825
0.005385,0.009373,0.017050
0.006143,0.007601,0.018321
0.006643,0.008464,0.020919
0.004872,0.008370,0.018315
0.005317,0.009661,0.017967
0.004213,0.010130,0.020669
0.006391,0.009788,0.016760
0.003691,0.010356,0.014965
0.004973,0.008448,0.017172
0.005273,0.009597,0.019122
0.005709,0.007657,0.015941
0.004733,0.011110,0.022585
0.004061,0.011273,0.015125
0.005256,0.008935,0.012676
0.003860,0.010259,0.013831
0.004612,0.009462,0.016756
0.004382,0.009702,0.015676
0.004546,0.012933,0.012729
0.005811,0.009439,0.013972
0.004706,0.011359,0.015440
0.007143,0.011506,0.017728
0.004243,0.008950,0.016612
0.004790,0.008368,0.017057
0.003875,0.008637,0.020826
0.004884,0.008853,0.015866
0.006241,0.009880,0.020664
0.005442,0.009926,0.021049
0.004529,0.011747,0.017195
0.004224,0.008448,0.020034
0.004872,0.012214,0.017584
0.004358,0.009661,0.016178
0.004082,0.010653,0.016226
0.003838,0.008163,0.013975
0.005512,0.009561,0.019097
0.004917,0.007870,0.016128
0.003824,0.011035,0.018925
0.004001,0.009933,0.014133
0.004663,0.011252,0.015906
0.006074,0.007538,0.016290
0.004100,0.010574,0.018641
0.003035,0.011478,0.016722
0.005018,0.012695,0.016846
0.004977,0.009224,0.017040
0.003998,0.017562,0.020286
0.003852,0.010410,0.013047
0.005089,0.011722,0.015983
0.003897,0.008138,0.019723
0.004872,0.009459,0.022258
0.005945,0.013235,0.016854
0.003722,0.011402,0.016725
0.003838,0.008936,0.014483
0.004565,0.008535,0.019736
0.004740,0.009242,0.014517
0.003661,0.009852,0.014526
0.003120,0.009739,0.017067
0.003555,0.010837,0.015414
0.005184,0.013528,0.026413
0.004321,0.010531,0.017114
0.005326,0.010123,0.017239
0.005322,0.007334,0.020876
0.004201,0.010394,0.019625
0.004597,0.007930,0.017035
0.006128,0.007923,0.017188
0.004435,0.010012,0.014981
0.004839,0.010829,0.017585
0.003331,0.012565,0.018251
0.004461,0.010596,0.019098
0.004080,0.009513,0.014062
0.003952,0.014156,0.021667
0.004266,0.009604,0.015381
0.004375,0.009893,0.014572
0.004649,0.008854,0.018027
0.004829,0.007957,0.016251
0.004902,0.008838,0.022950
0.004473,0.010091,0.017230
0.004699,0.010313,0.017185
0.004760,0.008867,0.022189
0.004990,0.010933,0.014622
0.004289,0.009429,0.018425
0.004251,0.008568,0.020549
0.004435,0.009271,0.016461
0.004508,0.011281,0.019002
0.004861,0.009265,0.026808
0.004897,0.009543,0.015428
0.004403,0.012449,0.025729
0.004565,0.012568,0.014244
0.005144,0.008970,0.016122
0.005548,0.010971,0.023314
0.004747,0.014548,0.019905
0.004063,0.010949,0.017840
0.005288,0.010538,0.016584
0.004113,0.013018,0.014861
0.004427,0.008990,0.028529
0.004423,0.008764,0.018046
0.004561,0.009110,0.017006
0.006270,0.011471,0.016972
0.004436,0.011184,0.020341
0.003814,0.009206,0.016028
0.004176,0.008845,0.014414
0.004862,0.009417,0.018178
0.004230,0.011443,0.015565
0.005573,0.011575,0.018202
0.003892,0.010112,0.014197
0.004065,0.017994,0.017808
0.006456,0.011207,0.016502
0.002756,0.008981,0.017891
0.004270,0.009717,0.015280
0.003818,0.010096,0.017949
0.003658,0.011965,0.019167
0.003983,0.011888,0.021241
0.004612,0.013357,0.017364
0.004250,0.010012,0.018489
0.003186,0.011439,0.017467
0.004307,0.011192,0.014719
0.005480,0.009809,0.016361
0.004100,0.009370,0.023476
0.005108,0.011344,0.021110
0.004637,0.009461,0.014926
0.007066,0.009178,0.018562
0.003740,0.010338,0.014664
0.004429,0.009790,0.018755
0.003904,0.010931,0.015431
0.004020,0.011678,0.016823
0.003624,0.010305,0.014872
0.004407,0.011024,0.013980
0.006608,0.009066,0.017697
0.005550,0.009832,0.019965
0.003957,0.011592,0.034345
0.004549,0.012867,0.014993
0.003657,0.009230,0.018218
0.003366,0.009719,0.021575
0.003633,0.009841,0.016151
0.004810,0.008542,0.020493
0.004892,0.006813,0.017493
0.004454,0.010123,0.013554
0.007633,0.009704,0.016234
0.003536,0.012957,0.033263
0.003884,0.009986,0.017173
0.004897,0.009981,0.018711
0.006644,0.009192,0.019050
0.015611,0.008535,0.016315
0.019643,0.011499,0.012181
0.008286,0.012769,0.017788
0.005328,0.009029,0.020388
0.004766,0.010675,0.015191
0.004133,0.009594,0.016342
